City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Castro,BR,-24.79,-50.01,77.86,48,0,6.15,clear sky
217,Esperance,AU,-33.87,121.9,48.2,81,75,2.24,broken clouds
218,Puerto Colombia,CO,10.99,-74.95,91.4,70,40,4.7,scattered clouds
219,Manjacaze,MZ,-24.71,33.88,85.73,41,0,15.12,clear sky
220,Yanam,IN,16.73,82.22,79.18,88,77,3.89,broken clouds
221,Cayenne,GF,4.93,-52.33,89.6,59,40,5.82,scattered clouds
222,Kloulklubed,PW,7.04,134.26,77.0,88,75,8.32,broken clouds
223,Ilulissat,GL,69.22,-51.1,48.2,63,75,3.36,broken clouds
224,Liverpool,GB,53.41,-2.98,55.99,71,75,10.29,shower rain
225,Whitecourt,CA,54.15,-115.69,53.6,66,20,11.41,few clouds
226,Sangar,RU,63.92,127.47,56.68,52,100,12.64,overcast clouds
227,Vrangel,RU,42.73,133.08,64.94,85,96,17.56,overcast clouds
228,Yining,CN,29.04,114.56,72.09,90,0,0.89,clear sky
229,Tura,IN,25.52,90.22,74.82,95,73,4.41,light rain
230,Uvinza,TZ,-5.1,30.39,71.38,54,36,3.02,scattered clouds
231,San Cristobal,VE,7.77,-72.22,89.6,52,40,11.41,scattered clouds
232,Suntar,RU,62.14,117.63,51.22,96,100,3.94,overcast clouds
233,Xinyu,CN,27.8,114.93,73.6,86,0,2.46,clear sky
234,Marsh Harbour,BS,26.54,-77.06,85.42,66,99,3.94,overcast clouds
235,Tucuman,AR,-26.82,-65.22,80.6,36,88,11.41,smoke
236,Georgetown,MY,5.41,100.34,84.2,74,20,3.36,few clouds
237,Gawler,AU,-34.6,138.73,62.01,45,95,5.99,overcast clouds
238,Rawson,AR,-43.3,-65.1,48.18,43,0,15.57,clear sky
239,Tuatapere,NZ,-46.13,167.68,49.21,82,96,10.07,overcast clouds
240,Groningen,NL,53.25,6.75,63.0,77,20,11.41,few clouds
241,Yar-Sale,RU,66.83,70.83,42.44,78,0,10.54,clear sky
242,Krasnoselkup,RU,65.7,82.47,56.37,80,79,2.66,broken clouds
243,Kirovsk,UA,48.64,38.64,67.51,52,0,2.89,clear sky
244,Kachug,RU,53.96,105.88,56.07,91,100,1.83,overcast clouds
245,Elat,IL,29.56,34.95,93.2,63,0,9.17,clear sky
246,La Baule-Escoublac,FR,47.29,-2.36,61.0,72,73,11.41,broken clouds
247,Mint Hill,US,35.18,-80.65,86.0,86,88,1.99,light rain
248,Bandarbeyla,SO,9.49,50.81,77.16,78,5,30.62,clear sky
249,Homer,US,59.64,-151.55,55.0,87,1,5.82,clear sky
250,Capreol,CA,46.71,-80.92,61.0,93,90,8.05,shower rain
251,Galatini,GR,40.32,21.55,82.0,38,0,4.27,clear sky
252,Coihaique,CL,-45.58,-72.07,44.6,48,75,5.82,broken clouds
253,North Battleford,CA,52.78,-108.28,69.8,46,1,12.75,clear sky
254,Lagoa,PT,39.05,-27.98,74.5,94,92,10.0,overcast clouds
255,Negotin,RS,44.23,22.53,82.8,32,0,1.63,clear sky
256,Severo-Kurilsk,RU,50.68,156.12,49.08,92,100,12.12,light rain
257,Ancud,CL,-41.87,-73.82,46.99,94,65,5.01,light rain
258,The Valley,AI,18.22,-63.06,87.8,70,20,11.41,few clouds
259,Townsville,AU,-19.25,146.8,71.01,68,90,14.99,overcast clouds
260,Saldanha,ZA,-33.01,17.94,46.4,70,14,5.82,few clouds
261,Chiredzi,ZW,-21.05,31.67,86.16,25,34,9.82,scattered clouds
262,Kannangad,IN,12.31,75.11,78.82,84,100,0.78,light rain
