City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Talara,PE,75.2,few clouds,-4.58,-81.27,Hostal Oro Negro
500,Sao Pedro,BR,87.01,clear sky,-22.55,-47.91,Hotel Fazenda Samambaia
501,Sadri,IN,79.75,moderate rain,25.18,73.43,Chandra Hill Resort
502,Bontang,ID,77.81,light rain,0.13,117.5,Okra Leaf Guest House Syariah
503,Hambantota,LK,81.5,scattered clouds,6.12,81.12,Bungalow 63
505,Kampot,KH,80.6,few clouds,10.62,104.18,Champa Lodge
510,Zhuhai,CN,87.01,clear sky,22.28,113.57,珠海粤财假日酒店
511,Hailey,US,79.0,smoke,43.52,-114.32,Wood River Inn & Suites
513,Pasni,PK,81.52,few clouds,25.26,63.47,3G hotel pasni
520,Ixtapa,MX,86.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
523,Mulege,MX,87.21,light rain,26.88,-111.98,Casa Granada
536,Gboko,NG,76.3,broken clouds,7.32,9.0,Bays Garden Hotel
537,La Asuncion,VE,83.01,light rain,11.03,-63.86,Colinas de Matasiete
541,Pangai,TO,76.87,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
543,Mitsamiouli,KM,77.0,few clouds,-11.38,43.28,Foyer ADM
544,Palasa,IN,80.47,clear sky,18.77,84.42,Malla Krishana apartment
545,Kailua,US,78.8,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
547,Pasighat,IN,76.39,moderate rain,28.07,95.33,Siang Guest House
549,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
554,San Quintin,MX,75.81,clear sky,30.48,-115.95,Old Mill Hotel
557,Kasangulu,CD,82.4,scattered clouds,-4.59,15.17,Hôtel le Relais
559,Lincoln,US,77.0,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
560,Catuday,PH,81.63,overcast clouds,16.29,119.81,GResort
564,Neiafu,TO,75.2,scattered clouds,-18.65,-173.98,Mystic Sands
566,Yilan,TW,84.0,broken clouds,24.76,121.75,Dar Chen Hotel
567,Tatawin,TN,84.83,clear sky,32.93,10.45,Sangho Privilege Tataouine
570,Katsuura,JP,82.4,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
571,Itarema,BR,85.69,clear sky,-2.92,-39.92,Windvillage
573,Cabo San Lucas,MX,80.01,light rain,22.89,-109.91,Hotel Tesoro Los Cabos
574,Cururupu,BR,87.1,scattered clouds,-1.83,-44.87,Pousada Través'cia
576,Muroto,JP,83.28,clear sky,33.28,134.15,Oota Ryokan
578,Monrovia,LR,80.6,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
579,Vila Velha,BR,80.01,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
584,Havelock,US,89.6,scattered clouds,34.88,-76.9,Sherwood Motel
585,Biak,ID,76.42,light rain,-0.91,122.88,Kost Ariz
587,Sola,VU,79.88,moderate rain,-13.88,167.55,Leumerus Bungalows
590,Puerto Del Rosario,ES,78.8,scattered clouds,28.5,-13.86,Hotel JM Puerto del Rosario
595,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
600,Mangrol,IN,78.62,heavy intensity rain,21.12,70.12,Hotel The Royal Honours
617,Mwene-Ditu,CD,79.16,broken clouds,-7.0,23.45,Hôtel Kamas
622,Teknaf,BD,80.22,broken clouds,20.86,92.31,Magnum Engineering & Construction
625,Maceio,BR,82.4,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
627,Polson,US,78.01,clear sky,47.69,-114.16,Americas Best Value Port Polson Inn
629,Guarapari,BR,80.01,clear sky,-20.67,-40.5,Hotel Porto do Sol
632,Praya,CV,84.2,broken clouds,14.92,-23.51,LT Aparthotel
633,Miandoab,IR,80.6,clear sky,36.97,46.1,هتل برنجیان
634,Alenquer,BR,87.8,few clouds,-1.94,-54.74,Detinha Hotel
635,Tautira,PF,78.8,few clouds,-17.73,-149.15,Pension Oaoa
636,Muli,MV,83.57,overcast clouds,2.92,73.57,Medhufushi Island Resort
637,Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
645,Sorong,ID,76.55,overcast clouds,-0.88,131.25,The Waigo Hotel
648,Flagstaff,US,78.01,clear sky,35.2,-111.65,Drury Inn & Suites Flagstaff
650,Fort Walton Beach,US,81.0,heavy intensity rain,30.41,-86.62,Best Western Ft. Walton Beachfront
654,Malanje,AO,75.2,overcast clouds,-9.54,16.34,Malanje Hotel
657,Linfen,CN,76.86,broken clouds,36.09,111.52,Suoxing Hotel
658,Sinnamary,GF,84.47,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
667,Meadow Lake,US,82.99,scattered clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
668,Camaqua,BR,80.69,broken clouds,-30.85,-51.81,Bartz Hotel
677,Biltine,TD,86.25,few clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
678,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
688,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
689,Napoleon,US,75.99,overcast clouds,41.39,-84.13,Napoleon Inn & Suites
